,type,true_entropy,n_components,KNIFE_train_mean,KNIFE_val_mean,REMEDI_train_mean,REMEDI_val_mean,KNIFE_train_std,KNIFE_val_std,REMEDI_train_std,REMEDI_val_std
0,ball_20d,-7.771561172376099e-16,1,1.130274480241351,1.1327150491528082,0.17323337283368603,0.37862412989659794,0.004262634342026416,0.003039656768697271,0.010822582196782475,0.01139446547549508
1,ball_20d_varcomps,-7.771561172376099e-16,1,1.1303403660300715,1.1325600698875955,,,0.004394667362543467,0.0037024155482629287,,
2,ball_20d_varcomps,-7.771561172376099e-16,8,1.1295492726309189,1.1329850179295113,,,0.0034556201060113203,0.0030419388521059653,,
3,ball_20d_varcomps,-7.771561172376099e-16,64,1.1068855737610972,1.1333173819908666,,,0.007643487818629941,0.0031286906029801683,,
4,ball_20d_varcomps,-7.771561172376099e-16,256,1.0205997035037038,1.139754339586692,,,0.011605703623006574,0.004817860048194609,,
5,ball_20d_varcomps,-7.771561172376099e-16,1024,0.7509947688397511,1.2176455118107368,,,0.011960683027534485,0.014603259918928333,,
6,ball_20d_varcomps,-7.771561172376099e-16,2048,0.4624287164348592,1.3732450797962739,,,0.019335162946963007,0.016647311402983006,,
7,ball_8d,4.440892098500625e-16,1,0.7408607873443397,0.7416825285291555,0.05739226446054724,0.09822403541563299,0.002926555026266354,0.00472249342210227,0.004932267609060438,0.00786469217044009
8,ball_8d_varcomps,4.440892098500625e-16,1,0.7408803958661976,0.7418177431850317,,,0.002922107821876459,0.004716653731840501,,
9,ball_8d_varcomps,4.440892098500625e-16,8,0.7027286291918853,0.7135438690538287,,,0.021632360968339433,0.02138005940101761,,
10,ball_8d_varcomps,4.440892098500625e-16,64,0.5059434579956751,0.5604747064943179,,,0.005472469472299569,0.00607823792876637,,
11,ball_8d_varcomps,4.440892098500625e-16,256,0.3542270010285633,0.5128703764948702,,,0.008793900227597505,0.004508090978806697,,
12,ball_8d_varcomps,4.440892098500625e-16,1024,0.037728886568567085,0.6419329392331714,,,0.028260224558441686,0.009392429927127882,,
13,ball_8d_varcomps,4.440892098500625e-16,2048,-0.2636878622984651,0.8421615975482057,,,0.027844246342521316,0.014391694164529472,,
14,cube_20d,0.0,1,3.531218968262882,3.536964156839841,1.1715858539089727,1.3861010090965797,0.009820865741158839,0.0077707914863832635,0.140164827589785,0.10560322306034935
15,cube_20d_varcomps,0.0,1,3.5310461141356284,3.53734285278558,,,0.009983806705930234,0.008341597320089995,,
16,cube_20d_varcomps,0.0,8,3.52856213160931,3.5372984410529065,,,0.008840337297588614,0.00816429209445883,,
17,cube_20d_varcomps,0.0,64,3.2681658983745536,3.3260545830035126,,,0.03401265752449884,0.040165749987933985,,
18,cube_20d_varcomps,0.0,256,2.8883563642825436,3.0693653089508905,,,0.021365309216708244,0.012619495441833174,,
19,cube_20d_varcomps,0.0,1024,2.347575006456058,3.0230831180271993,,,0.023789435168425365,0.01451198072313386,,
20,cube_20d_varcomps,0.0,2048,1.854726587421553,3.1790640455250645,,,0.021397853440355497,0.010866454233142482,,
21,cube_8d,0.0,1,1.4121379472735378,1.4131683714065422,0.15962426290796547,0.2108132989082172,0.004812072444162892,0.004652561139182046,0.057189158749112526,0.05049283410056366
22,cube_8d_varcomps,0.0,1,1.4122667722454403,1.413030986922251,,,0.004785706658048915,0.004833234716360529,,
23,cube_8d_varcomps,0.0,8,1.1061798223218504,1.1088220465497876,,,0.010638153992193682,0.012047856672711679,,
24,cube_8d_varcomps,0.0,64,0.7637344758869884,0.8291494578959832,,,0.02420870248629231,0.02544251314691636,,
25,cube_8d_varcomps,0.0,256,0.5253626429864456,0.8029923595874198,,,0.007651489264782172,0.010536070397307648,,
26,cube_8d_varcomps,0.0,1024,-0.03182657521200372,0.906854012858261,,,0.04407511614604918,0.016809814871983266,,
27,cube_8d_varcomps,0.0,2048,-0.4227722150182764,1.0927194511648617,,,0.079373785449724,0.03892116833473052,,
28,triangle_1d,0.8241287309042737,16,0.8730962750288963,0.8731814414006095,0.8272892127364109,0.8284170437384792,0.024361956061830736,0.02310503490642999,0.00540265713804751,0.003931322693710354
29,triangle_20d_varcomps,6.462965407003487,1,14.149437085191076,14.149957191227301,,,0.008894355746187363,0.006604397006329027,,
30,triangle_20d_varcomps,6.462965407003487,8,13.217329352870474,13.234473392703213,,,0.031397685092116476,0.03286935332995159,,
31,triangle_20d_varcomps,6.462965407003487,64,12.343322752180844,12.653430789445146,,,0.047354976124753825,0.044368388309816,,
32,triangle_20d_varcomps,6.462965407003487,256,11.096701888211829,12.487500086182528,,,0.01847674773114116,0.02477096614833466,,
33,triangle_20d_varcomps,6.462965407003487,1024,8.551704615631177,13.300502508833542,,,0.03718963897183163,0.021122090473789223,,
34,triangle_20d_varcomps,6.462965407003487,2048,7.291913613927669,14.630724968354627,,,0.052411293988498024,0.02746539697205917,,
35,triangle_8d,2.585186162801395,16,4.342245870178157,4.356322254687502,2.9790750745888266,3.07980546453589,0.05304386442713853,0.05283622403091738,0.03223456814403366,0.03677933432654004
36,triangle_8d_varcomps,2.585186162801395,1,5.658341493034052,5.661178663037772,,,0.003135492430584692,0.003464921709939893,,
37,triangle_8d_varcomps,2.585186162801395,8,4.6282268835167475,4.633090213012407,,,0.02924382184764599,0.03310824528617561,,
38,triangle_8d_varcomps,2.585186162801395,64,3.5931662470423853,3.646057450653445,,,0.024140574401449778,0.019992293788984372,,
